id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
20;scraping restaurants;requests;1566989531.0666602;-1.863825798034668;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or200-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or200-Mother-Copenhagen_Zealand.html;1293349;200;True;
21;scraping restaurants;requests;1566989534.439502;-1.9943780899047852;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or210-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or210-Mother-Copenhagen_Zealand.html;1296825;200;True;
22;scraping restaurants;requests;1566989537.943638;-1.4603068828582764;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or220-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or220-Mother-Copenhagen_Zealand.html;1294400;200;True;
23;scraping restaurants;requests;1566989540.916893;-1.9571690559387207;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or230-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or230-Mother-Copenhagen_Zealand.html;1291188;200;True;
24;scraping restaurants;requests;1566989544.384686;-1.467376947402954;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or240-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or240-Mother-Copenhagen_Zealand.html;1294100;200;True;
25;scraping restaurants;requests;1566989547.358898;-1.6556751728057861;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or250-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or250-Mother-Copenhagen_Zealand.html;1307487;200;True;
26;scraping restaurants;requests;1566989550.525054;-1.4589099884033203;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or260-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or260-Mother-Copenhagen_Zealand.html;1292618;200;True;
27;scraping restaurants;requests;1566989553.496932;-1.4572491645812988;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or270-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or270-Mother-Copenhagen_Zealand.html;1291377;200;True;
28;scraping restaurants;requests;1566989556.466917;-1.5570199489593506;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or280-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or280-Mother-Copenhagen_Zealand.html;1293160;200;True;
29;scraping restaurants;requests;1566989559.533003;-1.6615417003631592;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or290-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or290-Mother-Copenhagen_Zealand.html;1292867;200;True;
30;scraping restaurants;requests;1566989562.707482;-1.97426176071167;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or300-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or300-Mother-Copenhagen_Zealand.html;1294747;200;True;
31;scraping restaurants;requests;1566989566.190237;-1.5910329818725586;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or310-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or310-Mother-Copenhagen_Zealand.html;1297977;200;True;
32;scraping restaurants;requests;1566989569.287872;-1.4343149662017822;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or320-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or320-Mother-Copenhagen_Zealand.html;1293559;200;True;
33;scraping restaurants;requests;1566989572.234146;-1.4596600532531738;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or330-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or330-Mother-Copenhagen_Zealand.html;1302215;200;True;
34;scraping restaurants;requests;1566989575.205375;-1.4551100730895996;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or340-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or340-Mother-Copenhagen_Zealand.html;1294923;200;True;
35;scraping restaurants;requests;1566989578.166272;-1.4002649784088135;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or350-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or350-Mother-Copenhagen_Zealand.html;1294745;200;True;
36;scraping restaurants;requests;1566989581.073766;-1.3434789180755615;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or360-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or360-Mother-Copenhagen_Zealand.html;1294091;200;True;
37;scraping restaurants;requests;1566989583.9254851;-1.5504240989685059;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or370-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or370-Mother-Copenhagen_Zealand.html;1291967;200;True;
38;scraping restaurants;requests;1566989586.9913568;-1.355708122253418;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or380-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or380-Mother-Copenhagen_Zealand.html;1292615;200;True;
39;scraping restaurants;requests;1566989589.853736;-1.8720781803131104;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or390-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or390-Mother-Copenhagen_Zealand.html;1292720;200;True;
40;scraping restaurants;requests;1566989593.235578;-1.5609428882598877;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or400-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or400-Mother-Copenhagen_Zealand.html;1291531;200;True;
41;scraping restaurants;requests;1566989596.30765;-1.4503700733184814;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or410-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or410-Mother-Copenhagen_Zealand.html;1296086;200;True;
