,Unnamed: 0,name,bubble,review
1263,23,Cafe Georg,4 ud af 5 bobler,7 anmeldelser
1264,24,Scamorza,"4,5 ud af 5 bobler",4 anmeldelser
1265,25,Juice'It,5 ud af 5 bobler,2 anmeldelser
1266,26,Klai's,"4,5 ud af 5 bobler",3 anmeldelser
1267,27,Cafe World,5 ud af 5 bobler,4 anmeldelser
1268,28,Madore,"4,5 ud af 5 bobler",3 anmeldelser
1269,29,Teppan House ApS,"3,5 ud af 5 bobler",41 anmeldelser
1270,30,LETZ SUSHI AMAGER,5 ud af 5 bobler,2 anmeldelser
1272,1,The Grid,5 ud af 5 bobler,2 anmeldelser
1273,2,Det Grønne Køkken,"4,5 ud af 5 bobler",4 anmeldelser
1274,3,Rohan Indian Restaurant,4 ud af 5 bobler,6 anmeldelser
1275,4,La Centrale,4 ud af 5 bobler,9 anmeldelser
1276,5,LETZ SUSHI VALBY,5 ud af 5 bobler,2 anmeldelser
1277,6,Zorro Pizza,4 ud af 5 bobler,6 anmeldelser
1278,7,Bageren I Nansensgade,5 ud af 5 bobler,2 anmeldelser
1279,8,Calories,"3,5 ud af 5 bobler",10 anmeldelser
1280,9,Phailin Thai Kitchen,4 ud af 5 bobler,8 anmeldelser
1281,10,Sikhui,"4,5 ud af 5 bobler",4 anmeldelser
1282,11,TATA - Cocktailbar,"3,5 ud af 5 bobler",6 anmeldelser
1283,12,Rbabarrab Ølbar,"4,5 ud af 5 bobler",3 anmeldelser
1284,13,Bagelsringen,"4,5 ud af 5 bobler",3 anmeldelser
1285,14,Funder,5 ud af 5 bobler,2 anmeldelser
1286,15,Ostehjornet,"4,5 ud af 5 bobler",4 anmeldelser
1287,16,Dinewithus,5 ud af 5 bobler,3 anmeldelser
1288,17,Café Livingstone,3 ud af 5 bobler,85 anmeldelser
1289,18,Aroii Thai Takeaway,4 ud af 5 bobler,7 anmeldelser
1290,19,Mille's Minis,4 ud af 5 bobler,5 anmeldelser
1291,20,Kaffe K,"4,5 ud af 5 bobler",3 anmeldelser
1292,21,Bindia,"3,5 ud af 5 bobler",14 anmeldelser
1293,22,Green Buddha,4 ud af 5 bobler,7 anmeldelser
1294,23,Botanisk Haves Café,4 ud af 5 bobler,4 anmeldelser
1295,24,Pasha Kebab,"3,5 ud af 5 bobler",21 anmeldelser
1296,25,Østergro,4 ud af 5 bobler,5 anmeldelser
1297,26,Favorit Baklavici,4 ud af 5 bobler,6 anmeldelser
1298,27,Tove Smorrebrod,5 ud af 5 bobler,2 anmeldelser
1299,28,Leonard's,5 ud af 5 bobler,2 anmeldelser
1300,29,Burgerklubben,"3,5 ud af 5 bobler",7 anmeldelser
1301,30,D.D. Thai Take Away,"4,5 ud af 5 bobler",4 anmeldelser
1303,1,Us Sandwich APS,"4,5 ud af 5 bobler",3 anmeldelser
1304,2,Opera Cafe,4 ud af 5 bobler,5 anmeldelser
1305,3,Damhuskanten,4 ud af 5 bobler,5 anmeldelser
1306,4,Olivaceous,"3,5 ud af 5 bobler",7 anmeldelser
1307,5,Sushi Station,4 ud af 5 bobler,5 anmeldelser
1309,7,A San Sushi,"3,5 ud af 5 bobler",8 anmeldelser
1310,8,Koi Sushi,5 ud af 5 bobler,3 anmeldelser
1311,9,Shabaz Kaffebar & Køkken,"3,5 ud af 5 bobler",6 anmeldelser
1313,11,Baguette Company,"4,5 ud af 5 bobler",3 anmeldelser
1315,13,Phago,"4,5 ud af 5 bobler",2 anmeldelser
1316,14,Koshari-Egyptisk Vegetarisk Street Food,"4,5 ud af 5 bobler",2 anmeldelser
1317,15,Restaurant Skipperkroen,"4,5 ud af 5 bobler",2 anmeldelser
1318,16,Tex Mex,"3,5 ud af 5 bobler",6 anmeldelser
1319,17,Shakes and Cakes,5 ud af 5 bobler,2 anmeldelser
1320,18,The Organic LAB,"3,5 ud af 5 bobler",11 anmeldelser
1321,19,Pronto Pizza III,"4,5 ud af 5 bobler",3 anmeldelser
1322,20,Stefanos Mad og Kaffe,"3,5 ud af 5 bobler",7 anmeldelser
1323,21,Cafiola,"3,5 ud af 5 bobler",24 anmeldelser
1324,22,Mahalle,4 ud af 5 bobler,3 anmeldelser
1325,23,Sweet Valentine,4 ud af 5 bobler,3 anmeldelser
1326,24,Her Er Ro Pub,"4,5 ud af 5 bobler",4 anmeldelser
1327,25,Nr. 30,4 ud af 5 bobler,3 anmeldelser
1328,26,Resturant Baglokalet,4 ud af 5 bobler,3 anmeldelser
1329,27,Café Phønix,"3,5 ud af 5 bobler",48 anmeldelser
1330,28,Sorte Firkant,4 ud af 5 bobler,5 anmeldelser
1331,29,Gaarden & Gaden,3 ud af 5 bobler,18 anmeldelser
1332,30,Bar rouge københavn,5 ud af 5 bobler,6 anmeldelser
1334,1,No. 31 - Wine & Food,"3,5 ud af 5 bobler",9 anmeldelser
1335,2,Wokbaren Spicylicious,"3,5 ud af 5 bobler",12 anmeldelser
1336,3,Nordisk Brodhus,4 ud af 5 bobler,6 anmeldelser
1337,4,Kafe Krone,"3,5 ud af 5 bobler",7 anmeldelser
1338,5,Fisk & Faerdigt,4 ud af 5 bobler,3 anmeldelser
1339,6,Asap Food,5 ud af 5 bobler,2 anmeldelser
1340,7,La Foretta,"3,5 ud af 5 bobler",6 anmeldelser
1341,8,Kababji Grill,4 ud af 5 bobler,2 anmeldelser
1342,9,Blue Raven,5 ud af 5 bobler,1 anmeldelse
1343,10,Cafe Badklubben,5 ud af 5 bobler,1 anmeldelse
1344,11,Garbanzo,5 ud af 5 bobler,1 anmeldelse
1345,12,Restaurant Kongen,5 ud af 5 bobler,1 anmeldelse
1346,13,Katsura Sushi,5 ud af 5 bobler,1 anmeldelse
1347,14,Vinbodegaen Frederiksberg,5 ud af 5 bobler,1 anmeldelse
1348,15,Dam Good Goodies,5 ud af 5 bobler,1 anmeldelse
1349,16,La Cipa Pizzaria,"4,5 ud af 5 bobler",2 anmeldelser
1350,17,Blaaregn,5 ud af 5 bobler,1 anmeldelse
1351,18,Woodomi,5 ud af 5 bobler,1 anmeldelse
1352,19,LETZ SUSHI ISLANDS BRYGGE,5 ud af 5 bobler,1 anmeldelse
1353,20,Kiin Kiin 71 omakase,5 ud af 5 bobler,1 anmeldelse
1354,21,Bella Italia,4 ud af 5 bobler,2 anmeldelser
1355,22,Tokyo Sushi,5 ud af 5 bobler,1 anmeldelse
1356,23,Wai Mai,5 ud af 5 bobler,1 anmeldelse
1357,24,Vores Marked,5 ud af 5 bobler,1 anmeldelse
1358,25,Baggard 27,5 ud af 5 bobler,1 anmeldelse
1359,26,Vestford Manor,5 ud af 5 bobler,2 anmeldelser
1360,27,Ismejeriet Tivoli,5 ud af 5 bobler,1 anmeldelse
1361,28,Shawarma Huset,5 ud af 5 bobler,1 anmeldelse
1362,29,LeLe Street Kitchen,5 ud af 5 bobler,1 anmeldelse
1363,30,Pub 53,5 ud af 5 bobler,1 anmeldelse
1365,1,VACA - Trianglen,5 ud af 5 bobler,1 anmeldelse
1366,2,Cafe Lille Peter V.Sild - Per Krog,5 ud af 5 bobler,1 anmeldelse
1368,4,Ipanema Café,"3,5 ud af 5 bobler",8 anmeldelser
1369,5,Tomasito - Cozy Coffee,5 ud af 5 bobler,1 anmeldelse
1370,6,Boheme Kaffebar,5 ud af 5 bobler,1 anmeldelse
1371,7,Yokoso Sushi,5 ud af 5 bobler,1 anmeldelse
1372,8,Minas Kaffebar,5 ud af 5 bobler,1 anmeldelse
1373,9,Vietnam House,4 ud af 5 bobler,3 anmeldelser
1374,10,Vintage Coffee,5 ud af 5 bobler,1 anmeldelse
1375,11,Oishi Sushi,5 ud af 5 bobler,1 anmeldelse
1376,12,Limdim,5 ud af 5 bobler,1 anmeldelse
1377,13,Kosmos K,5 ud af 5 bobler,1 anmeldelse
1378,14,Wok Inside,5 ud af 5 bobler,1 anmeldelse
1379,15,RaJuize,5 ud af 5 bobler,1 anmeldelse
1380,16,Grand Teatret,5 ud af 5 bobler,1 anmeldelse
1381,17,Islands Brygge 21,"3,5 ud af 5 bobler",12 anmeldelser
1382,18,Den okologiske poles and,5 ud af 5 bobler,2 anmeldelser
1383,19,Uden Ben,5 ud af 5 bobler,1 anmeldelse
1384,20,Kyoto Restaurant,3 ud af 5 bobler,91 anmeldelser
1385,21,Indian Tandoor Restaurant,5 ud af 5 bobler,1 anmeldelse
1386,22,Motley,"3,5 ud af 5 bobler",7 anmeldelser
1387,23,Curry Club,4 ud af 5 bobler,2 anmeldelser
1389,25,Fu Wa Restaurant,"3,5 ud af 5 bobler",22 anmeldelser
1390,26,Sala Thai Mad,5 ud af 5 bobler,1 anmeldelse
